"ID","Questions","A","B","C","D","Correct"
"53"," Which type of routing protocol sends its entire routing table to its directly connected neighbors on a periodic basis?","  Link State Routing Protocol","  Distance Vector Routing Protocol","  Static Routing Protocol","  Hybrid Routing Protocol","B"
"54"," In a Link State Routing Protocol what does each router construct and maintain to represent the network topology?","  Routing table","  Routing information base","  Link State Database","  Forwarding table","C"
"55"," In a Distance Vector Routing Protocol how does a router determine the best path to a destination network?","  By calculating the shortest path using Dijkstra's algorithm","  By advertising its routing table to all neighbors","  By selecting the path with the lowest hop count","  By consulting the Link State Database","C"
"56"," What is the primary advantage of Hybrid Routing Protocols?","  Simplicity of implementation","  Scalability for large networks","  Fast convergence","  Low memory usage","B"
"57"," What is the primary disadvantage of Static Routing?","  Inefficient use of network resources","  High overhead","  Slow convergence","  Complexity of configuration","A"
"58"," What is the purpose of Performance Analysis in network routing?","  To determine the physical size of a network","  To evaluate the speed of data transmission","  To assess the network's scalability","  To measure the network's efficiency and identify bottlenecks","D"
"59"," Which tool is commonly used for network performance analysis and troubleshooting in a simulated environment?","  Wireshark","  Cisco Packet Tracer","  PuTTY","  NetFlow Analyzer","B"
"60"," What does the term ""routing metric"" refer to in the context of routing protocols?","  The number of routers in the network","  A value used to determine the best path to a destination","  The physical distance between routers","  The router's IP address","B"
"61"," Which metric is commonly used by Distance Vector Routing Protocols like RIP to make routing decisions?","  Bandwidth","  Hop count","  Delay","  Reliability","B"
"62"," Which network performance metric measures the time it takes for a packet to travel from the source to the destination?","  Bandwidth","  Latency","  Jitter","  Packet loss","B"
"63"," What is the primary goal of packet tracer tools in network analysis?","  To analyze network configuration files","  To monitor real-time network traffic","  To simulate network behavior and troubleshoot issues","  To capture and analyze network packets","C"
