"ID","Questions","A","B","C","D","Correct"
"56"," Which network protocol is responsible for the exchange of email messages?"," DNS (Domain Name System)"," SMTP (Simple Mail Transfer Protocol)"," HTTP (Hypertext Transfer Protocol)"," SNMP (Simple Network Management Protocol)","B"
"57"," What is the primary function of the Application Layer in the OSI model?"," To provide end-to-end communication between applications"," To manage data transmission over the physical medium"," To ensure network reliability and error correction"," To control physical devices in the network","A"
"58"," In the context of networking what does HTTP (Hypertext Transfer Protocol) stand for?"," Hypertext Transmission Protocol"," Hypertext Transfer Process"," Hypertext Transport Protocol"," Hypertext Transfer Protocol","D"
"59"," What is the primary purpose of SMTP (Simple Mail Transfer Protocol)?"," To transmit email messages between email clients and servers"," To resolve domain names into IP addresses"," To retrieve web pages from web servers"," To secure network communication","A"
"60"," Which protocol is commonly used for email transmission between mail clients and servers?"," SMTP (Simple Mail Transfer Protocol)"," HTTP (Hypertext Transfer Protocol)"," FTP (File Transfer Protocol)"," DNS (Domain Name System)","A"
"61"," What is SNMP (Simple Network Management Protocol) used for in network management?"," To monitor and manage network devices and components"," To transmit email messages"," To resolve domain names into IP addresses"," To retrieve web pages","A"
"62"," Which protocol is used for the secure transmission of files between clients and servers?0"," FTP (File Transfer Protocol)"," SMTP (Simple Mail Transfer Protocol)"," HTTP (Hypertext Transfer Protocol)"," SNMP (Simple Network Management Protocol)","A"
"63"," In FTP (File Transfer Protocol) what is the primary function of the Control Connection?"," To manage the interaction between the client and server"," To transmit file data between the client and server"," To resolve domain names"," To retrieve web pages","A"
"64"," Which protocol is used for retrieving web pages from web servers?"," HTTP (Hypertext Transfer Protocol)"," SMTP (Simple Mail Transfer Protocol)"," FTP (File Transfer Protocol)"," SNMP (Simple Network Management Protocol)","A"
"65"," What is the primary function of the Data Connection in FTP (File Transfer Protocol)?"," To transmit file data between the client and server"," To manage the interaction between the client and server"," To resolve domain names"," To retrieve web pages","A"
"66"," In the context of network protocols what does FTP (File Transfer Protocol) stand for?"," File Transmission Protocol"," File Transfer Process"," File Transport Protocol"," File Transfer Protocol","D"
"67"," Which protocol is responsible for the secure transmission of web pages over the internet?"," HTTPS (Hypertext Transfer Protocol Secure)"," HTTP (Hypertext Transfer Protocol)"," FTP (File Transfer Protocol)"," SMTP (Simple Mail Transfer Protocol)","A"
"68"," What is the purpose of the FTP (File Transfer Protocol)?"," To demonstrate secure file transmission"," To showcase web page retrieval"," To illustrate email transmission"," To highlight network management","A"
"69"," In the context of network protocols what does SMTP (Simple Mail Transfer Protocol) stand for?"," Secure Mail Transfer Protocol"," Simple Message Transport Protocol"," Simple Mail Transport Protocol"," Simple Mail Transfer Protocol","D"
"70"," What is the primary function of SMTP (Simple Mail Transfer Protocol) in email communication?"," To transmit email messages between email clients and servers"," To resolve domain names into IP addresses"," To manage network devices"," To secure web page retrieval","A"
"71"," Which protocol is responsible for the secure transmission of email messages between email clients and servers?"," SMTPS (Simple Mail Transfer Protocol Secure)"," HTTPS (Hypertext Transfer Protocol Secure)"," HTTP (Hypertext Transfer Protocol)"," FTPS (File Transfer Protocol Secure)","A"
"72"," What is the primary purpose of SNMP (Simple Network Management Protocol) in network management?"," To monitor and manage network devices and components"," To transmit email messages"," To resolve domain names into IP addresses"," To retrieve web pages","A"
"73"," Which protocol is responsible for the secure management of network devices and components?"," SNMPv3 (Simple Network Management Protocol version 3)"," HTTP (Hypertext Transfer Protocol)"," FTP (File Transfer Protocol)"," SMTP (Simple Mail Transfer Protocol)","A"
"74"," What is the primary function of SNMPv3 (Simple Network Management Protocol version 3) in network management?"," To resolve domain names into IP addresses"," To provide secure monitoring and management of network devices and components"," To retrieve web pages"," To transmit email messages","B"
